County Name,2017,2018,Jan17,Feb17,Mar17,Apr17,May17,Jun17,Jul17,Aug17,Sep17,Oct17,Nov17,Dec17,Jan18,Feb18,Mar18,Apr18,May18,Jun18,Jul18,Aug18,Sep18,Oct18,Nov18,Dec18
Luzerne,203.0,288.0,25.0,23.0,12.0,20.0,20.0,22.0,15.0,12.0,16.0,16.0,9.0,13.0,14.0,14.0,21.0,38.0,20.0,27.0,28.0,26.0,27.0,32.0,9.0,32.0
Lycoming,34.0,23.0,4.0,5.0,4.0,3.0,3.0,3.0,6.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
McKean,10.0,14.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0
Mercer,73.0,68.0,12.0,6.0,6.0,8.0,10.0,3.0,3.0,7.0,4.0,3.0,4.0,7.0,5.0,7.0,9.0,10.0,0.0,3.0,8.0,6.0,8.0,8.0,2.0,2.0
Mifflin,13.0,12.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
Monroe,103.0,107.0,16.0,3.0,7.0,8.0,16.0,9.0,9.0,12.0,7.0,9.0,3.0,4.0,6.0,9.0,10.0,14.0,9.0,4.0,17.0,10.0,7.0,10.0,8.0,3.0
Montgomery,277.0,381.0,28.0,16.0,28.0,18.0,29.0,26.0,34.0,24.0,24.0,23.0,10.0,17.0,18.0,35.0,38.0,47.0,41.0,28.0,33.0,36.0,18.0,40.0,25.0,22.0
Montour,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Northampton,118.0,135.0,10.0,10.0,7.0,12.0,14.0,10.0,13.0,8.0,7.0,10.0,10.0,7.0,4.0,9.0,16.0,16.0,8.0,12.0,12.0,12.0,12.0,10.0,11.0,13.0
Northumberland,64.0,67.0,10.0,2.0,6.0,2.0,2.0,7.0,8.0,4.0,5.0,2.0,5.0,11.0,3.0,9.0,5.0,7.0,9.0,4.0,5.0,5.0,3.0,6.0,6.0,5.0
