Week Begin Date,County Name,County Code,County FIPS Code,Latitude/Longitude,Total Intakes,Georeferenced Lat/Long
10/16/17,Clearfield,17,42033,"(41.0004290024, -78.4755834299)",1,POINT (-78.4755834299 41.0004290024)
7/17/17,York,67,42133,"(39.9219253124, -76.7257605231)",8,POINT (-76.7257605231 39.9219253124)
3/6/17,Cambria,11,42021,"(40.4912749067, -78.7189417385)",1,POINT (-78.7189417385 40.4912749067)
5/14/18,Washington,63,42125,"(40.1910966345, -80.2518008276)",2,POINT (-80.2518008276 40.1910966345)
12/24/18,Venango,61,42121,"(41.4034125863, -79.7628656104)",2,POINT (-79.7628656104 41.4034125863)
3/25/19,Beaver,4,42007,"(40.6834924548, -80.3510735648)",4,POINT (-80.3510735648 40.6834924548)
7/10/17,Washington,63,42125,"(40.1910966345, -80.2518008276)",3,POINT (-80.2518008276 40.1910966345)
12/11/17,Bradford,8,42015,"(41.7911781401, -76.5182562384)",0,POINT (-76.5182562384 41.7911781401)
8/12/19,Mifflin,44,42087,"(40.6127492804, -77.6200308901)",1,POINT (-77.6200308901 40.6127492804)
6/11/18,Clearfield,17,42033,"(41.0004290024, -78.4755834299)",0,POINT (-78.4755834299 41.0004290024)
7/24/17,Washington,63,42125,"(40.1910966345, -80.2518008276)",2,POINT (-80.2518008276 40.1910966345)
11/27/17,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",0,POINT (-76.4618257486 40.3675970024)
5/22/17,Bucks,9,42017,"(40.335011331, -75.1129124111)",1,POINT (-75.1129124111 40.335011331)
1/21/19,Warren,62,42123,"(41.8167523652, -79.278581578)",0,POINT (-79.278581578 41.8167523652)
6/5/17,Somerset,56,42111,"(39.9714629901, -79.0310020611)",0,POINT (-79.0310020611 39.9714629901)
3/11/19,Juniata,34,42067,"(40.5343300836, -77.405775001)",0,POINT (-77.405775001 40.5343300836)
2/20/17,Fayette,26,42051,"(39.919447803, -79.6518963464)",1,POINT (-79.6518963464 39.919447803)
9/3/18,Bedford,5,42009,"(40.0073753643, -78.4911647381)",0,POINT (-78.4911647381 40.0073753643)
2/27/17,Cumberland,21,42041,"(40.167598388, -77.268662705)",,POINT (-77.268662705 40.167598388)
3/4/19,Clearfield,17,42033,"(41.0004290024, -78.4755834299)",2,POINT (-78.4755834299 41.0004290024)
10/1/18,Huntingdon,31,42061,"(40.4161050032, -77.9827661036)",1,POINT (-77.9827661036 40.4161050032)
3/20/17,Montour,47,42093,"(41.0280182438, -76.6647052668)",0,POINT (-76.6647052668 41.0280182438)
4/30/18,Northampton,48,42095,"(40.754595404, -75.3126372576)",1,POINT (-75.3126372576 40.754595404)
8/5/19,Sullivan,57,42113,"(41.4480993958, -76.5147922046)",0,POINT (-76.5147922046 41.4480993958)
7/23/18,Clearfield,17,42033,"(41.0004290024, -78.4755834299)",2,POINT (-78.4755834299 41.0004290024)
7/9/18,Montour,47,42093,"(41.0280182438, -76.6647052668)",0,POINT (-76.6647052668 41.0280182438)
8/7/17,Crawford,20,42039,"(41.6854690692, -80.1132108295)",0,POINT (-80.1132108295 41.6854690692)
6/10/19,Lancaster,36,42071,"(40.0459079619, -76.2513876838)",5,POINT (-76.2513876838 40.0459079619)
12/12/16,Wayne,64,42127,"(41.6496980525, -75.3051535022)",1,POINT (-75.3051535022 41.6496980525)
3/5/18,Cameron,12,42023,"(41.4388026531, -78.2091693241)",0,POINT (-78.2091693241 41.4388026531)
5/13/19,Lycoming,41,42081,"(41.3445979226, -77.069424568)",0,POINT (-77.069424568 41.3445979226)
10/15/18,Venango,61,42121,"(41.4034125863, -79.7628656104)",0,POINT (-79.7628656104 41.4034125863)
1/1/18,Chester,15,42029,"(39.9748705566, -75.7562649818)",1,POINT (-75.7562649818 39.9748705566)
11/14/16,Delaware,23,42045,"(39.9165786652, -75.4062771212)",6,POINT (-75.40627712120002 39.9165786652)
11/27/17,Union,60,42119,"(40.9647313096, -77.0641580308)",1,POINT (-77.0641580308 40.9647313096)
